CARD_PROM_12,CHILDREN,DONOR_AGE,FILE_CARD_GIFT,FREQUENCY_STATUS_97NK,INCOME_GROUP,LAST_GIFT_AMT,LIFETIME_CARD_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,NUMBER_PROM_12,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PCT_OWNER_OCCUPIED,PEP_STAR,PER_CAPITA_INCOME,RECENT_AVG_CARD_GIFT_AMT,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,RECENT_CARD_RESPONSE_PROP,RECENT_RESPONSE_COUNT,RECENT_RESPONSE_PROP,RECENT_STAR_STATUS,DONOR_GENDER_F,DONOR_GENDER_M,DONOR_GENDER_U,HOME_OWNER_H,HOME_OWNER_U,RECENCY_STATUS_96NK_A,RECENCY_STATUS_96NK_E,RECENCY_STATUS_96NK_F,RECENCY_STATUS_96NK_L,RECENCY_STATUS_96NK_N,RECENCY_STATUS_96NK_S,SES_1,SES_2,SES_3,SES_4,SES_?,URBANICITY_?,URBANICITY_C,URBANICITY_R,URBANICITY_S,URBANICITY_T,URBANICITY_U
1.9459,0.0,-3.3855,3.4076,4.0,1.8942,3.2517,3.5324,5.8756,3.6278,3.7979,3.1577,4.5455,7.878,5.204,5.0161,-2.7906,3.3673,2.8422,2.7794,-4.1431,4.0297,3.7754,-3.8678,1.0,9.6822,2.0149,3.1599,1.9014,0.2005,2.1101,0.1914,2.2834,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.9459,1.0986,-3.3855,3.0955,4.0,1.8942,3.7573,3.2931,6.1187,3.7525,4.0002,3.1577,4.6172,7.8366,5.3471,5.1694,-2.7906,3.2958,2.8989,2.7794,-3.989,3.3757,4.1045,-4.464,1.0,9.3659,2.3979,3.4117,1.9014,0.1672,2.1101,0.174,2.2834,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.7918,1.1021,-3.5835,2.4931,1.0,2.0461,3.7573,3.3034,5.884,3.3895,4.2429,3.7017,4.2371,8.2251,6.4907,4.6711,-1.4563,3.6636,2.65,2.7794,-3.8286,4.0118,3.7284,-3.9286,0.0,10.2387,0.0,3.6328,1.5465,0.0,1.6581,0.044,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.6094,-3.6636,2.6461,2.0,1.8942,3.8677,2.9552,5.6673,3.1192,4.0878,3.4183,3.8755,8.0541,6.1269,4.3414,-2.587,3.4012,2.8422,3.4691,-4.0943,2.9039,4.809,-3.9286,1.0,9.9441,2.7726,3.491,2.0406,0.357,1.9809,0.1939,2.1758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.6094,1.3863,-3.9318,2.5725,1.0,1.8942,3.7573,2.8452,5.6499,3.074,4.0002,3.7017,3.8546,8.0338,6.0474,4.3544,-2.229,3.5264,2.7779,2.7794,-4.0073,3.9749,3.8419,-4.3153,0.0,9.8175,3.0445,3.6328,1.9014,0.2874,1.8325,0.1432,2.1758,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.9459,1.3863,-3.2581,2.5725,2.0,2.0461,3.7573,3.0543,5.6742,3.1625,4.0002,3.2393,4.0467,7.846,5.5452,4.5089,-2.6596,3.4965,2.7822,2.8964,-4.1271,4.0297,3.4214,-4.2462,0.0,9.2801,2.5649,3.361,1.7396,0.1178,1.8325,0.1053,2.1758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.7918,1.6094,-3.7136,2.9496,1.0,2.0461,3.6064,3.5027,5.9223,3.4852,3.9241,3.2393,4.5021,7.8271,5.3519,5.0358,-2.7272,3.3322,2.7822,2.8396,-3.8918,3.5623,4.2713,-4.0916,1.0,9.2518,2.7081,3.3951,1.7396,0.1178,1.8325,0.0998,2.9862,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.9459,1.6094,-3.7612,3.1398,3.0,1.9078,3.7573,3.6688,6.0805,3.5732,4.0002,3.1993,4.5871,7.8874,5.7777,5.1919,-2.7272,3.3322,2.8989,2.7794,-4.2195,3.3049,3.8839,-3.9088,1.0,9.4277,2.9444,3.5784,2.0406,0.2624,1.9809,0.1467,2.1758,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.9459,1.0986,-3.1355,2.7787,3.0,1.3186,3.4286,3.1866,5.7013,3.3888,3.7979,3.1577,4.1305,8.724,5.8454,4.5414,-2.5088,3.434,2.7183,2.7794,-3.7136,3.1022,4.6212,-4.1405,1.0,10.4549,2.0373,3.1953,2.0406,0.2624,2.2246,0.2335,2.2834,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.7918,1.3863,-2.7726,3.1822,2.0,1.5556,3.4915,3.7186,6.0313,3.6008,3.9041,3.2393,4.5665,7.9086,6.0707,5.1751,-2.7906,3.2958,2.7183,2.7794,-3.5553,3.644,4.0537,-4.0402,1.0,9.8763,2.3979,3.3257,1.9014,0.2231,1.9809,0.1467,3.1272,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.6094,-3.7377,2.839,4.0,2.1677,3.4915,3.266,5.7691,3.3544,3.8838,3.1993,4.1928,8.0319,6.0474,4.6033,-2.7906,3.2958,2.7822,2.7794,-3.8067,3.8968,3.9818,-3.7805,1.0,9.9351,2.2332,3.2664,2.0406,0.2624,2.2246,0.2335,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.0986,-4.0073,2.6461,1.0,2.276,3.8677,3.1866,5.8268,3.2039,4.0878,3.4183,4.1305,8.026,5.8141,4.5089,-1.839,3.6109,2.7183,2.7794,-3.7377,3.8669,3.1618,-3.7574,1.0,9.4043,3.157,3.6968,1.9014,0.1672,1.8325,0.0871,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.9459,0.0,-2.4849,2.6461,1.0,2.0461,3.6332,3.1866,5.6249,3.1625,3.9041,3.1577,4.2078,8.1199,5.7494,4.6711,-2.6596,3.3673,2.7183,2.7794,-3.5835,4.1782,3.5727,-4.0044,0.0,9.2848,2.6027,3.4117,1.9014,0.2515,1.8325,0.1178,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.7918,1.3863,-3.3855,2.7146,3.0,2.1677,3.4915,3.1444,5.698,3.3189,3.7979,3.1577,4.1305,8.0913,6.4708,4.5414,-2.7906,3.2958,2.7183,2.7794,-4.1109,4.0647,3.3539,-3.8467,1.0,9.8545,2.1972,3.2588,1.9014,0.2005,1.9884,0.2335,2.2834,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,0.6931,-3.1781,2.7146,1.0,1.9078,3.8677,3.5892,5.8558,3.2437,4.0878,3.4183,4.5241,7.8982,5.8608,5.0926,-2.587,3.7377,2.7822,2.7794,-3.6109,3.2675,4.6113,-3.9672,0.0,9.7676,3.2581,3.7569,1.7396,0.0871,1.6581,0.044,2.1758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.9459,0.0,-2.9444,2.7787,1.0,2.0461,3.8677,3.408,5.8615,3.2437,4.0878,3.2393,4.4093,8.0686,6.1356,4.7691,-2.587,3.4012,2.8989,2.7794,-3.4965,3.8669,4.0362,-4.1913,1.0,10.0046,3.2581,3.7569,1.7396,0.0953,1.8325,0.0998,2.5502,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.6094,1.0986,-3.6636,2.4931,1.0,1.9078,3.6332,2.5806,5.5578,3.0267,3.9041,3.57,3.6165,7.8893,5.5413,4.1869,-2.7272,3.3322,2.65,2.8473,-3.8712,4.1627,3.1618,-4.2317,0.0,9.4107,2.7726,3.491,1.7396,0.4055,1.6581,0.1823,2.1758,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.9459,1.0986,-3.9318,2.839,2.0,1.9078,3.4915,3.3744,5.7999,3.3189,3.9041,3.2393,4.3335,8.0099,5.4337,4.8661,-3.2435,3.3322,0.0,2.7794,-3.9703,3.7435,3.8202,-4.4407,0.0,9.3583,2.4849,3.4061,1.9014,0.1823,1.9809,0.1398,2.1758,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.7918,0.0,-3.091,2.4931,2.0,2.276,3.4915,2.6536,5.5994,3.074,3.9847,3.4183,3.6941,8.2686,6.1738,4.202,-2.7906,3.3673,2.8422,2.7794,-3.9005,2.9039,4.4615,-3.6594,0.0,10.1968,2.8332,3.521,1.7396,0.4055,1.6581,0.2231,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.8547,1.3863,-1.7918,2.839,4.0,1.9078,3.8884,3.4721,6.1785,3.3895,4.1683,3.2393,4.4093,8.0853,5.6595,4.8188,-2.7272,3.3322,2.8422,2.7794,-3.4012,2.9039,4.809,-3.8885,0.0,9.9822,3.3322,3.7846,2.0406,0.2414,2.2246,0.2135,2.1758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.9459,1.3863,-3.6109,2.7952,2.0,2.276,3.8677,3.3395,5.9617,3.282,4.0878,3.57,4.2656,8.6108,6.2804,4.6617,-2.229,3.5264,2.7779,2.8964,-4.0943,3.6698,4.0347,-4.2023,1.0,10.012,3.2581,3.7569,1.7396,0.0953,1.8325,0.0908,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.3863,-3.3855,3.3357,4.0,2.1677,3.3615,3.4406,6.1469,3.9245,3.9241,3.1577,4.3721,8.2765,6.1527,4.7776,-2.7272,3.3673,2.8422,2.8473,-3.8918,3.9366,3.963,-3.986,1.0,9.8157,2.2915,3.2827,2.617,0.5977,2.7881,0.5342,2.2834,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.3863,-3.7136,2.6461,3.0,2.1677,3.4915,2.9017,5.6213,3.1625,3.7979,3.2393,3.8546,8.5137,6.4583,4.3414,-3.2435,3.2958,2.7822,2.7794,-3.8918,3.8121,3.6274,-3.9286,1.0,10.0448,2.1199,3.251,2.0406,0.4055,2.1101,0.2685,2.1758,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9459,1.0986,-3.9318,2.4931,3.0,1.9078,3.4915,3.0543,5.6673,3.2039,3.8201,3.2393,3.9928,7.8437,5.4027,4.4166,-2.7272,3.3322,2.7822,2.7794,-3.8501,3.956,3.8202,-3.9088,0.0,8.9953,1.7918,3.2891,1.7396,0.1053,2.2246,0.2453,2.1758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6931,0.0,-3.3855,3.1398,4.0,1.8942,3.7573,3.1003,6.3535,3.7525,4.0878,3.2393,3.9359,7.9152,5.5215,4.9039,-2.587,3.4012,1.6398,3.5296,-4.1431,3.9169,3.7284,-4.819,1.0,9.8879,2.7726,3.5136,1.7396,0.2874,2.1101,0.4517,2.2834,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.6094,1.6094,-3.2958,2.6461,1.0,2.276,3.6332,3.1444,5.6569,3.282,3.9041,3.1142,4.1776,7.8742,5.6595,4.7346,-1.6659,3.6376,2.3179,2.7794,-3.9005,3.9169,4.0537,-4.1245,1.0,9.4604,1.7918,3.3257,1.7396,0.1178,1.8325,0.1758,2.1758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.6094,0.6931,-2.7081,2.5725,1.0,1.5556,3.6332,2.9552,5.6031,3.1192,3.9041,3.2393,3.9742,7.8711,5.5872,4.4978,-2.3312,3.4965,2.5767,2.8396,-3.6376,3.4734,4.2988,-3.9672,0.0,9.3935,2.7726,3.491,1.7396,0.1337,1.6581,0.0573,2.1758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0794,1.1021,-3.8067,2.7146,3.0,2.0461,3.4915,3.2271,6.5001,3.3544,3.8201,3.1577,4.2078,7.8278,4.7536,4.5089,-2.6596,3.3673,3.0034,2.7794,-3.912,3.8121,4.1209,-4.4868,0.0,8.8662,2.3979,3.3112,2.0406,0.2624,2.2246,0.2135,2.2736,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.6094,0.0,-3.3673,2.4931,1.0,1.5556,3.6332,2.7853,5.5845,3.074,3.9041,3.3148,3.7889,7.8569,5.2257,4.3671,-2.5088,3.434,2.5767,2.8964,-3.8501,3.5903,4.2851,-4.38,0.0,9.0561,2.0794,3.361,1.7396,0.1823,1.8325,0.1544,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.7918,1.0986,-3.3855,2.4931,1.9956,1.8942,3.825,2.6536,5.5882,3.0267,4.0536,3.7731,3.6431,8.8081,4.9904,4.1869,-2.7272,3.3322,2.7183,2.7794,-3.7842,3.8669,3.7284,-4.9115,0.0,9.4288,3.1781,3.7091,1.7396,0.4055,1.6581,0.1823,2.1758,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
